Magnitud,Longitud,Latitud,Profundidad.Km
5.4,-174.774,-20.155,122.8
5,-174.593,-21.141,11.2
4.8,-174.54,-20.615,10
4.6,-174.19,51.547,35
3.9,-174.107,51.476,40.4
4.9,-174.089,-19.946,35
3.2,-173.957,51.361,17.3
2.6,-173.946,51.341,20
2.5,-173.941,51.432,41.3
5.3,-173.446,-16.904,39.9
3,-171.426,51.787,40
2.5,-169.73,52.874,7.9
3,-169.608,52.763,13.1
3.4,-169.451,52.748,3.3
3.2,-169.375,52.714,4.8
2.6,-169.218,52.71,1
3.3,-168.183,53.554,170.2
2.9,-166.489,67.466,18.1
3,-164.959,53.491,25.6
2.5,-164.666,54.302,84.9
2.8,-163.499,54.165,42.7
2.7,-162.908,53.657,61.1
2.5,-162.903,53.595,38.6
3.3,-162.872,53.599,11.8
3.3,-162.858,53.543,39
2.5,-162.852,53.607,37.5
3,-162.838,53.583,34.3
3.3,-162.831,53.578,40.6
2.5,-162.796,53.531,34.5
3.3,-162.755,53.553,42.6
2.6,-162.725,53.677,9.5
3.3,-162.619,65.372,20
2.9,-157.889,55.237,70.4
2.6,-156.753,58.017,193.4
2.6,-156.49,56.408,17.3
4.2,-156.485,56.075,32.8
2.8,-156.197,57.48,95.9
2.6,-155.98,20.3,33.6
2.8,-155.759,56.96,41.8
3,-155.478,18.941,37.1
3,-154.875,58.103,85.5
2.8,-154.328,62.262,98.6
3.2,-153.597,59.895,127.3
2.5,-153.49,59.767,125.8
2.6,-153.297,60.137,134.3
4.1,-153.292,59.978,129
2.8,-152.948,60.117,129.8
3,-152.806,56.957,5.1
2.8,-152.656,59.685,90.6
2.6,-152.551,61.039,131.9
2.9,-152.384,60.214,86.3
3.2,-152.255,61.223,127.3
2.5,-152.107,59.841,79.6
2.7,-151.972,59.745,44.6
2.5,-151.822,59.898,59.4
2.6,-151.602,63.211,12.4
2.9,-150.981,63.075,126.6
2.7,-150.895,61.678,58.5
3.6,-150.694,63.195,126.8
3.9,-150.639,62.732,87.4
2.7,-150.382,61.396,12.3
3.2,-149.35,63.103,81.5
3.8,-147.088,57.105,12
3.4,-146.717,61.37,28
2.6,-146.415,61.577,25.8
3.2,-144.167,63.045,8.1
3.4,-127.057,40.528,5
3,-125.432,40.357,15
